1,3,6,10,15,21,28,36,45,55,66,78,91,105,120,136,153,171,190,210,231,253,276,300,325,351,378,406,435,465,496,528,561,595,630,666,703,741,780,820,861,903,946,990,1035,1081,1128,1176,1225,1275,1326,1378,1431,1485,1540,1596,1653,1711,1770,1830,1891,1953,2016,2080,2145,2211,2278,2346,2415,2485,2556,2628,2701,2775,2850,2926,3003,3081,3160,3240,3321,3403,3486,3570,3655,3741,3828,3916,4005,4095,4186,4278,4371,4465,4560,4656,4753,4851,4950,5050
3,9,18,30,45,63,84,108,135,165,198,234,273,315,360,408,459,513,570,630,693,759,828,900,975,1053,1134,1218,1305,1395,1488,1584,1683,1785,1890,1998,2109,2223,2340,2460,2583,2709,2838,2970,3105,3243,3384,3528,3675,3825,3978,4134,4293,4455,4620,4788,4959,5133,5310,5490,5673,5859,6048,6240,6435,6633,6834,7038,7245,7455,7668,7884,8103,8325,8550,8778,9009,9243,9480,9720,9963,10209,10458,10710,10965,11223,11484,11748,12015,12285,12558,12834,13113,13395,13680,13968,14259,14553,14850,15150
6,18,36,60,90,126,168,216,270,330,396,468,546,630,720,816,918,1026,1140,1260,1386,1518,1656,1800,1950,2106,2268,2436,2610,2790,2976,3168,3366,3570,3780,3996,4218,4446,4680,4920,5166,5418,5676,5940,6210,6486,6768,7056,7350,7650,7956,8268,8586,8910,9240,9576,9918,10266,10620,10980,11346,11718,12096,12480,12870,13266,13668,14076,14490,14910,15336,15768,16206,16650,17100,17556,18018,18486,18960,19440,19926,20418,20916,21420,21930,22446,22968,23496,24030,24570,25116,25668,26226,26790,27360,27936,28518,29106,29700,30300
10,30,60,100,150,210,280,360,450,550,660,780,910,1050,1200,1360,1530,1710,1900,2100,2310,2530,2760,3000,3250,3510,3780,4060,4350,4650,4960,5280,5610,5950,6300,6660,7030,7410,7800,8200,8610,9030,9460,9900,10350,10810,11280,11760,12250,12750,13260,13780,14310,14850,15400,15960,16530,17110,17700,18300,18910,19530,20160,20800,21450,22110,22780,23460,24150,24850,25560,26280,27010,27750,28500,29260,30030,30810,31600,32400,33210,34030,34860,35700,36550,37410,38280,39160,40050,40950,41860,42780,43710,44650,45600,46560,47530,48510,49500,50500
15,45,90,150,225,315,420,540,675,825,990,1170,1365,1575,1800,2040,2295,2565,2850,3150,3465,3795,4140,4500,4875,5265,5670,6090,6525,6975,7440,7920,8415,8925,9450,9990,10545,11115,11700,12300,12915,13545,14190,14850,15525,16215,16920,17640,18375,19125,19890,20670,21465,22275,23100,23940,24795,25665,26550,27450,28365,29295,30240,31200,32175,33165,34170,35190,36225,37275,38340,39420,40515,41625,42750,43890,45045,46215,47400,48600,49815,51045,52290,53550,54825,56115,57420,58740,60075,61425,62790,64170,65565,66975,68400,69840,71295,72765,74250,75750
21,63,126,210,315,441,588,756,945,1155,1386,1638,1911,2205,2520,2856,3213,3591,3990,4410,4851,5313,5796,6300,6825,7371,7938,8526,9135,9765,10416,11088,11781,12495,13230,13986,14763,15561,16380,17220,18081,18963,19866,20790,21735,22701,23688,24696,25725,26775,27846,28938,30051,31185,32340,33516,34713,35931,37170,38430,39711,41013,42336,43680,45045,46431,47838,49266,50715,52185,53676,55188,56721,58275,59850,61446,63063,64701,66360,68040,69741,71463,73206,74970,76755,78561,80388,82236,84105,85995,87906,89838,91791,93765,95760,97776,99813,101871,103950,106050
28,84,168,280,420,588,784,1008,1260,1540,1848,2184,2548,2940,3360,3808,4284,4788,5320,5880,6468,7084,7728,8400,9100,9828,10584,11368,12180,13020,13888,14784,15708,16660,17640,18648,19684,20748,21840,22960,24108,25284,26488,27720,28980,30268,31584,32928,34300,35700,37128,38584,40068,41580,43120,44688,46284,47908,49560,51240,52948,54684,56448,58240,60060,61908,63784,65688,67620,69580,71568,73584,75628,77700,79800,81928,84084,86268,88480,90720,92988,95284,97608,99960,102340,104748,107184,109648,112140,114660,117208,119784,122388,125020,127680,130368,133084,135828,138600,141400
36,108,216,360,540,756,1008,1296,1620,1980,2376,2808,3276,3780,4320,4896,5508,6156,6840,7560,8316,9108,9936,10800,11700,12636,13608,14616,15660,16740,17856,19008,20196,21420,22680,23976,25308,26676,28080,29520,30996,32508,34056,35640,37260,38916,40608,42336,44100,45900,47736,49608,51516,53460,55440,57456,59508,61596,63720,65880,68076,70308,72576,74880,77220,79596,82008,84456,86940,89460,92016,94608,97236,99900,102600,105336,108108,110916,113760,116640,119556,122508,125496,128520,131580,134676,137808,140976,144180,147420,150696,154008,157356,160740,164160,167616,171108,174636,178200,181800
45,135,270,450,675,945,1260,1620,2025,2475,2970,3510,4095,4725,5400,6120,6885,7695,8550,9450,10395,11385,12420,13500,14625,15795,17010,18270,19575,20925,22320,23760,25245,26775,28350,29970,31635,33345,35100,36900,38745,40635,42570,44550,46575,48645,50760,52920,55125,57375,59670,62010,64395,66825,69300,71820,74385,76995,79650,82350,85095,87885,90720,93600,96525,99495,102510,105570,108675,111825,115020,118260,121545,124875,128250,131670,135135,138645,142200,145800,149445,153135,156870,160650,164475,168345,172260,176220,180225,184275,188370,192510,196695,200925,205200,209520,213885,218295,222750,227250
55,165,330,550,825,1155,1540,1980,2475,3025,3630,4290,5005,5775,6600,7480,8415,9405,10450,11550,12705,13915,15180,16500,17875,19305,20790,22330,23925,25575,27280,29040,30855,32725,34650,36630,38665,40755,42900,45100,47355,49665,52030,54450,56925,59455,62040,64680,67375,70125,72930,75790,78705,81675,84700,87780,90915,94105,97350,100650,104005,107415,110880,114400,117975,121605,125290,129030,132825,136675,140580,144540,148555,152625,156750,160930,165165,169455,173800,178200,182655,187165,191730,196350,201025,205755,210540,215380,220275,225225,230230,235290,240405,245575,250800,256080,261415,266805,272250,277750
